date,Open,High,Low,Close,Adj Close,Volume,symbol
2024-08-09,75700,75800,74200,74700,74700,16388222,005930
2024-08-12,75200,75900,74800,75500,75500,9839259,005930
2024-08-13,76500,76600,75500,76100,76100,10716261,005930
2024-08-14,77400,77800,77000,77200,77200,13246168,005930
2024-08-16,79400,80200,78700,80200,80200,22061478,005930
2024-08-19,80100,80100,78000,78300,78300,14146565,005930
2024-08-20,79500,79800,78700,78900,78900,10683836,005930
2024-08-21,77900,78600,77800,78300,78300,7805598,005930
2024-08-22,78700,78900,77800,78300,78300,8149101,005930
2024-08-23,77700,78400,77500,77700,77700,9420306,005930
2024-08-26,78100,78200,76000,76100,76100,15655938,005930
2024-08-27,75700,76500,75600,75800,75800,11130145,005930
2024-08-28,75800,76400,75400,76400,76400,9794514,005930
2024-08-29,73600,74700,73500,74000,74000,16884479,005930
2024-08-30,74400,75000,74100,74300,74300,16358520,005930
2024-09-02,74500,74700,73500,74400,74400,12641376,005930
2024-09-03,74100,74300,72500,72500,72500,16314599,005930
2024-09-04,69800,71100,69800,70000,70000,27366563,005930
2024-09-05,70100,71200,69000,69000,69000,25686769,005930
2024-09-06,69100,69700,68000,68900,68900,19022299,005930
2024-09-09,66900,68200,66600,67500,67500,23263298,005930
2024-09-10,67000,67300,66000,66200,66200,30651376,005930
2024-09-11,65100,65500,64200,64900,64900,35809707,005930
2024-09-12,66000,66600,65200,66300,66300,35884106,005930
2024-09-13,65000,65500,64300,64400,64400,25045135,005930
2024-09-19,64000,64400,62200,63100,63100,49402713,005930
2024-09-20,63800,64700,63000,63000,63000,32746056,005930
2024-09-23,62300,63500,62200,62600,62600,28542376,005930
2024-09-24,62800,63400,62400,63200,63200,26957500,005930
2024-09-25,63800,64200,62200,62200,62200,28652438,005930
2024-09-26,63900,64900,63700,64700,64700,37566015,005930
2024-09-27,64700,65400,64200,64200,64200,28433030,005930
2024-09-30,64200,64300,61500,61500,61500,32694163,005930
2024-10-02,60500,61900,59900,61300,61300,28473536,005930
2024-10-04,61000,61700,60500,60600,60600,24247578,005930
2024-10-07,60200,61900,59500,61000,61000,35066533,005930
2024-10-08,60000,61000,59900,60300,60300,27411786,005930
2024-10-10,60100,60200,58900,58900,58900,45262214,005930
2024-10-11,59100,60100,59000,59300,59300,29623969,005930
2024-10-14,59500,61200,59400,60800,60800,20886249,005930
2024-10-15,61100,61400,60100,61000,61000,22715239,005930
2024-10-16,59400,60000,59200,59500,59500,23303268,005930
2024-10-17,59400,60100,59100,59700,59700,23372873,005930
2024-10-18,59900,60100,59100,59200,59200,14420260,005930
2024-10-21,59000,59600,58500,59000,59000,18514905,005930
2024-10-22,58800,58900,57700,57700,57700,27582527,005930
2024-10-23,57500,60000,57100,59100,59100,27300780,005930
2024-10-24,58200,58500,56600,56600,56600,31499922,005930
2024-10-25,56000,56900,55800,55900,55900,25829315,005930
2024-10-28,55700,58500,55700,58100,58100,27775009,005930
2024-10-29,58000,59600,57300,59600,59600,28369314,005930
2024-10-30,59100,59800,58600,59100,59100,19838511,005930
2024-10-31,58500,61200,58300,59200,59200,35809196,005930
2024-11-01,59000,59600,58100,58300,58300,19083180,005930
2024-11-04,58600,59400,58400,58700,58700,15586947,005930
2024-11-05,57800,58100,57200,57600,57600,17484474,005930
2024-11-06,57600,58000,56300,57300,57300,22092218,005930
2024-11-07,56900,58100,56800,57500,57500,17043102,005930
2024-11-08,58000,58300,57000,57000,57000,13877396,005930
2024-11-11,56700,56800,55000,55000,55000,29811326,005930
2024-11-12,54600,54600,53000,53000,53000,37962881,005930
2024-11-13,52000,53000,50500,50600,50600,52527995,005930
2024-11-14,50200,51800,49900,49900,49900,48510715,005930
2024-11-15,50300,54200,50300,53500,53500,46774485,005930
2024-11-18,57000,57500,55900,56700,56700,48095234,005930
